datetime;open;high;low;close;volume
2025-06-11 13:30:00;1224.35;1224.6;1223.7;1223.71;738
2025-06-11 13:00:00;1226.37;1227.78;1223.67;1224.5;5602
2025-06-11 12:30:00;1227.56;1228.02;1225.25;1226.5;3779
2025-06-11 12:00:00;1223.18;1227.465;1221.21;1227.465;4854
2025-06-11 11:30:00;1221.02;1225.3;1220.73;1223.27;6894
2025-06-11 11:00:00;1220.7;1221.44;1216.94;1220.98;4886
2025-06-11 10:30:00;1215.72;1221.79;1214.885;1221.08;14642
2025-06-11 10:00:00;1206;1216.38;1205.38;1215.545;11743
2025-06-11 09:30:00;1202.165;1207.93;1196.1;1205.94;12940
2025-06-10 15:30:00;1201.39001;1203.76990;1199;1203.14905;335059
2025-06-10 15:00:00;1200.68506;1204.77002;1199;1202.34998;203777
2025-06-10 14:30:00;1195.78503;1201.98999;1194.68005;1200.90991;173344
2025-06-10 14:00:00;1187.38000;1195.84998;1186;1195.81995;211572
2025-06-10 13:30:00;1185.93994;1189;1185.00012207;1188.5;134792
2025-06-10 13:00:00;1189.51001;1189.94995;1184.60046;1186.035034;178554
2025-06-10 12:30:00;1192.064941;1192.064941;1188.38013;1189.16003;159105
2025-06-10 12:00:00;1188.91003;1193.97998;1187.00012207;1191.93005;254734
2025-06-10 11:30:00;1187.72595;1190.95996;1180.60999;1189.26001;442035
2025-06-10 11:00:00;1192.85498;1194.98999;1186.12744;1187.63000;442738
2025-06-10 10:30:00;1202.59998;1202.59998;1193.21997;1193.64001;442360
2025-06-10 10:00:00;1214.37000;1214.48999;1200.34998;1202.64502;439910
2025-06-10 09:30:00;1227.52002;1227.52002;1210.14722;1213.26001;440687
2025-06-09 15:30:00;1225.19495;1225.94995;1221.56995;1224.43994;368399
2025-06-09 15:00:00;1226.82349;1227.33984;1223.64014;1224.93994;140686
2025-06-09 14:30:00;1226.21997;1228.47998;1226;1226.59998;82605
2025-06-09 14:00:00;1229.67004;1229.95996;1226.25;1226.29004;66171
2025-06-09 13:30:00;1229.099976;1231.27;1228.41;1229.66504;56279
2025-06-09 13:00:00;1229.38501;1229.78992;1227.46997;1228.83;62107
2025-06-09 12:30:00;1230.89990;1230.89990;1228.80005;1229.19995;48044
2025-06-09 12:00:00;1230.41003;1230.79504;1227.35999;1230.38416;79341
2025-06-09 11:30:00;1231.18994;1232.57104;1228.49756;1229.80005;164190
2025-06-09 11:00:00;1235.089966;1235.39233;1230.099976;1231.10999;69647
2025-06-09 10:30:00;1230.40002;1237.23499;1229.66003;1235.80005;154015
2025-06-09 10:00:00;1228.97571;1231.18005;1224.15002;1229.71497;229756
2025-06-09 09:30:00;1238.52502;1238.88000;1225.010010;1228.050049;483144
2025-06-06 15:30:00;1242.86499;1245.099976;1241.10010;1241.68005;250056
2025-06-06 15:00:00;1243.43994;1245.5;1242.010010;1243.025024;119989
2025-06-06 14:30:00;1243.079956;1244.62000;1241.69995;1243.70801;97838
2025-06-06 14:00:00;1242.50500;1243.83997;1241.88000;1243.079956;96051
2025-06-06 13:30:00;1240.96997;1244;1240.39001;1242.50500;86129
2025-06-06 13:00:00;1238.22986;1241.44519;1237.56006;1240.89001;110563
2025-06-06 12:30:00;1238.55005;1238.88232;1235.55005;1237.93506;148759
2025-06-06 12:00:00;1240.96997;1241.91003;1237.46997;1238.63000;114308
2025-06-06 11:30:00;1242.40002;1244.24792;1240.21997;1240.96997;167283
2025-06-06 11:00:00;1242.35999;1242.70142;1236.88000;1242;289463
2025-06-06 10:30:00;1245.069946;1247.56995;1241.084961;1242.46497;200393
2025-06-06 10:00:00;1250.68005;1252.39001;1244.65002;1245.16003;208486
2025-06-06 09:30:00;1259.25;1259.99988;1245.41003;1250.68005;433608
2025-06-05 15:30:00;1248.31494;1256;1248.31494;1250.82996;313434
2025-06-05 15:00:00;1248.75;1250.55005;1242.72009;1248.35498;132384
2025-06-05 14:30:00;1248.035034;1249.57764;1247.51001;1248.28247;107610
2025-06-05 14:00:00;1245.39001;1248.68005;1242.98999;1247.73999;110707
2025-06-05 13:30:00;1249.39001;1250.77002;1245.33997;1245.67004;67521
2025-06-05 13:00:00;1241.75;1250.27002;1241.19312;1249.34998;117326
2025-06-05 12:30:00;1253.064941;1253.18005;1241.32996;1243.83997;190005
2025-06-05 12:00:00;1256.32495;1256.59534;1252.55005;1253.31213;107319
2025-06-05 11:30:00;1257.68005;1258.030029;1255.54004;1256.20996;90811
2025-06-05 11:00:00;1259.76001;1260.30005;1257;1257.81995;148960
2025-06-05 10:30:00;1253.5;1262.81006;1252.84998;1259.099976;368512
2025-06-05 10:00:00;1252.19995;1256.31006;1250.17004;1253.060059;313122
2025-06-05 09:30:00;1239.66003;1252.51001;1237.29004;1252.010010;480426
2025-06-04 15:30:00;1240.97998;1241.71997;1238.76001;1239.52002;303903
2025-06-04 15:00:00;1239.59998;1241.15002;1239.27002;1240.42786;121191
2025-06-04 14:30:00;1241.16504;1241.48999;1238.37012;1239.23499;112579
2025-06-04 14:00:00;1240.38000;1242.56006;1240.38000;1241.16504;139300
2025-06-04 13:30:00;1237.63000;1241.23499;1237.18005;1240.5;118546
2025-06-04 13:00:00;1234.82996;1239.42175;1234.82996;1237.95386;177116
2025-06-04 12:30:00;1233.71680;1235.23999;1233.40002;1235.16003;80305
2025-06-04 12:00:00;1232.81995;1234.48987;1230.79004;1233.52002;85247
2025-06-04 11:30:00;1232.31006;1235.19678;1232.31006;1233.35999;73499
2025-06-04 11:00:00;1232.59998;1235.5;1232.040039;1233.074951;123594
2025-06-04 10:30:00;1230.98999;1233.53992;1230.30005;1232.86499;149515
2025-06-04 10:00:00;1225.30005;1233.63000;1222.78003;1230.48999;289147
2025-06-04 09:30:00;1220.73499;1227.75317;1219.88000;1224.79004;280737
2025-06-03 15:30:00;1219.48999;1220.088745;1216.00097656;1217.73999;232310
2025-06-03 15:00:00;1219.98279;1220.59106;1218.54004;1219.51001;94748
2025-06-03 14:30:00;1220.069946;1220.40002;1217.60999;1219.53503;65545
2025-06-03 14:00:00;1221.77502;1221.77502;1216.69995;1220.069946;92101
2025-06-03 13:30:00;1222.10999;1223.20996;1220.32996;1221.56006;89311
2025-06-03 13:00:00;1222.31006;1223.011597;1221.17004;1222.77100;50412
2025-06-03 12:30:00;1221.88000;1225.48499;1221.85498;1222.32996;124729
2025-06-03 12:00:00;1218.26001;1221.97998;1218.040039;1221.97998;110636
2025-06-03 11:30:00;1216;1218.99988;1214.91345;1218.96265;108962
2025-06-03 11:00:00;1214.56006;1217.079956;1212.35999;1216.18506;133297
2025-06-03 10:30:00;1212.54431;1216.020020;1211.19995;1214.12000;136042
2025-06-03 10:00:00;1218.66003;1220.66003;1211.62000;1211.96497;243925
2025-06-03 09:30:00;1219.85999;1229.56995;1214.30005;1218.43005;531558
2025-06-02 15:30:00;1216.83496;1219.39990;1216.26001;1218.97998;272900
2025-06-02 15:00:00;1216.24500;1218.63306;1216.23999;1216.54004;166420
2025-06-02 14:30:00;1214.29138;1217.18506;1213.90015;1216.25745;92786
2025-06-02 14:00:00;1212.069946;1215.099976;1212.069946;1214.16003;75171
2025-06-02 13:30:00;1213.91003;1213.99451;1210.090088;1212.58997;98565
2025-06-02 13:00:00;1214.35999;1216.27002;1213.16003;1213.91003;48257
2025-06-02 12:30:00;1213.815;1215.098511;1212.25;1214.66003;55968
2025-06-02 12:00:00;1216.85999;1217.72998;1213.5;1213.86;76087
2025-06-02 11:30:00;1213.41003;1217.75293;1212;1217.050049;109688
2025-06-02 11:00:00;1208.44995;1216.80005;1208.44995;1212.78003;266013
2025-06-02 10:30:00;1205.78479;1208.44995;1204.5;1208.25500;121877
2025-06-02 10:00:00;1205.65002;1207.5;1201.050049;1206.025024;189018
2025-06-02 09:30:00;1201.19995;1213.73987;1196.25012;1207.18506;439893
2025-05-30 15:30:00;1205.72998;1211.81006;1204.080078;1207.20996;797527
2025-05-30 15:00:00;1201.66797;1205.87000;1201.35522;1205.87000;217039
2025-05-30 14:30:00;1200.58997;1203.37988;1200.43726;1201.53503;149233
2025-05-30 14:00:00;1194.42004;1200.96997;1194.42004;1200.49500;169151
2025-05-30 13:30:00;1192.21997;1194.97998;1191.14001;1193.56995;142227
2025-05-30 13:00:00;1186.71997;1192.020020;1186.30505;1192.0050049;104512
2025-05-30 12:30:00;1184.079956;1187.41992;1180.92505;1186.87988;182132
2025-05-30 12:00:00;1193.045044;1193.34985;1184.080078;1184.49500;142627
2025-05-30 11:30:00;1197.010010;1197.59851;1192.17004;1193;128393
2025-05-30 11:00:00;1190.53003;1197.13098;1189.66003;1196.69995;140111
2025-05-30 10:30:00;1190.97754;1194.28003;1188.010010;1190.67505;162598
2025-05-30 10:00:00;1192.040039;1194.12000;1190.39001;1191.19495;185112
2025-05-30 09:30:00;1198.25500;1202.44995;1189.040039;1191.35999;499437
